entry_time,exit_time,direction,size,entry_price,exit_price,reason,pnl,cash_after
2025-12-05T14:05:00+03:00,2025-12-05T14:31:00+03:00,Long,352,76.7000,77.1760,tp,167.5520,30167.55
2025-12-09T18:00:00+03:00,2025-12-09T19:26:00+03:00,Long,349,77.7000,77.9688,tp,93.8112,30261.36
2025-12-10T16:00:00+03:00,2025-12-10T17:52:00+03:00,Long,347,78.3000,78.6556,tp,123.3932,30384.76
2025-12-17T11:00:00+03:00,2025-12-17T11:45:00+03:00,Long,340,80.3400,80.4492,tp,37.1280,30421.88
2025-12-19T17:00:00+03:00,2025-12-19T17:38:00+03:00,Short,341,80.2500,79.9560,tp,100.2540,30522.14
2025-12-22T14:05:00+03:00,2025-12-22T23:30:00+03:00,Short,348,78.8400,78.7500,session_end,31.3200,30553.46
2025-12-24T14:05:00+03:00,2025-12-24T15:04:00+03:00,Long,347,79.1100,79.3564,tp,85.5008,30638.96
2025-12-25T14:05:00+03:00,2025-12-25T23:30:00+03:00,Short,353,78.0300,77.8300,session_end,70.6000,30709.56
2025-12-29T16:00:00+03:00,2025-12-29T23:29:00+03:00,Long,352,78.4200,78.3700,session_end,-17.6000,30691.96
2025-12-30T16:00:00+03:00,2025-12-30T17:05:00+03:00,Long,350,78.8600,79.1176,tp,90.1600,30782.12
2026-01-05T11:00:00+03:00,2026-01-05T23:29:00+03:00,Long,346,80.0100,80.0200,session_end,3.4600,30785.58
2026-01-06T17:00:00+03:00,2026-01-06T18:00:00+03:00,Short,348,79.5400,79.1928,tp,120.8256,30906.40
2026-01-09T12:00:00+03:00,2026-01-09T12:03:00+03:00,Short,353,78.7900,78.5688,tp,78.0836,30984.49
2026-01-14T12:00:00+03:00,2026-01-14T14:06:00+03:00,Short,354,78.6300,78.4676,tp,57.4896,31041.98
2026-01-15T15:00:00+03:00,2026-01-15T17:07:00+03:00,Long,354,78.8300,78.1704,sl,-233.4984,30808.48
2026-01-21T11:00:00+03:00,2026-01-21T14:38:00+03:00,Short,357,77.5700,77.4328,tp,48.9804,30857.46
2026-01-26T12:00:00+03:00,2026-01-26T12:39:00+03:00,Long,364,76.2800,76.4760,tp,71.3440,30928.80
2026-01-28T15:00:00+03:00,2026-01-28T23:29:00+03:00,Long,361,77.0000,76.8100,session_end,-68.5900,30860.21
2026-01-29T16:00:00+03:00,2026-01-29T17:05:00+03:00,Short,364,76.2100,75.8992,tp,113.1312,30973.35
2026-01-30T15:00:00+03:00,2026-01-30T23:29:00+03:00,Long,363,76.7300,76.6700,session_end,-21.7800,30951.57
2026-02-02T11:00:00+03:00,2026-02-02T13:29:00+03:00,Long,357,77.8400,77.0716,sl,-274.3188,30677.25
2026-02-04T13:00:00+03:00,2026-02-04T13:31:00+03:00,Short,357,77.1400,76.9244,tp,76.9692,30754.22
2026-02-10T14:05:00+03:00,2026-02-10T23:30:00+03:00,Short,358,77.1900,77.5400,session_end,-125.3000,30628.92
2026-02-11T14:05:00+03:00,2026-02-11T23:29:00+03:00,Short,357,77.1300,77.3400,session_end,-74.9700,30553.95
2026-02-13T17:00:00+03:00,2026-02-13T17:49:00+03:00,Short,358,76.7700,76.6580,tp,40.0960,30594.04
