entry_ts_utc,exit_ts_utc,symbol,side,qty,entry_price,exit_price,commission_total,pnl_gross,pnl_net
1764932700,1764934260,USDRUBF,buy,352,76.7,77.176,0,167.55199999999968,167.55199999999968
1765292400,1765297560,USDRUBF,buy,349,77.7,77.9688,0,93.81119999999959,93.81119999999959
1765371600,1765378320,USDRUBF,buy,347,78.3,78.65559999999999,0,123.39319999999843,123.39319999999843
1765958400,1765961100,USDRUBF,buy,340,80.34,80.4492,0,37.12800000000044,37.12800000000044
1766152800,1766155080,USDRUBF,sell,341,80.25,79.956,0,100.25399999999895,100.25399999999895
1766401500,1766435400,USDRUBF,sell,348,78.84,78.75,0,31.320000000001187,31.320000000001187
1766574300,1766577840,USDRUBF,buy,347,79.11,79.3564,0,85.50079999999798,85.50079999999798
1766660700,1766694600,USDRUBF,sell,353,78.03,77.83,0,70.600000000001,70.600000000001
1767013200,1767040200,USDRUBF,buy,352,78.42,78.38,0,-14.080000000002201,-14.080000000002201
1767099600,1767103500,USDRUBF,buy,350,78.86,79.1176,0,90.15999999999877,90.15999999999877
1767600000,1767645000,USDRUBF,buy,346,80.01,80.05,0,13.839999999997247,13.839999999997247
1767708000,1767711600,USDRUBF,sell,348,79.54,79.1928,0,120.82560000000029,120.82560000000029
1767949200,1767949380,USDRUBF,sell,353,78.79,78.56880000000001,0,78.08359999999861,78.08359999999861
1768381200,1768388760,USDRUBF,sell,354,78.63,78.46759999999999,0,57.48960000000184,57.48960000000184
1768478400,1768486020,USDRUBF,buy,354,78.83,78.1704,0,-233.49839999999912,-233.49839999999912
1768982400,1768995480,USDRUBF,sell,357,77.57,77.43279999999999,0,48.98040000000253,48.98040000000253
1769418000,1769420340,USDRUBF,buy,364,76.28,76.476,0,71.34399999999926,71.34399999999926
1769601600,1769632200,USDRUBF,buy,361,77,76.79,0,-75.80999999999774,-75.80999999999774
1769691600,1769695500,USDRUBF,sell,364,76.21,75.8992,0,113.13120000000015,113.13120000000015
1769774400,1769805000,USDRUBF,buy,363,76.73,76.65,0,-29.03999999999938,-29.03999999999938
1770019200,1770028140,USDRUBF,buy,357,77.84,77.0716,0,-274.3187999999999,-274.3187999999999
1770199200,1770201060,USDRUBF,sell,357,77.14,76.9244,0,76.96919999999818,76.96919999999818
1770721500,1770755400,USDRUBF,sell,358,77.19,77.54,0,-125.30000000000305,-125.30000000000305
1770807900,1770841800,USDRUBF,sell,357,77.13,77.37,0,-85.68000000000325,-85.68000000000325
1770991200,1770994140,USDRUBF,sell,358,76.77,76.658,0,40.09599999999813,40.09599999999813
