captured_at_utc,strategy,portfolio,runtime_container,runtime_image,runtime_config_path,runtime_config_sha256,gateway_container,gateway_image,gateway_config_path,gateway_config_sha256,strategy_id,strategy_kind,symbol,order_symbol,qty,profile,profile_id,mr_variant,mr_gate_policy,risk_gate_ledger_key,risk_gate_seed_file,session_start,session_end,break_start_1,break_end_1,break_start_2,break_end_2,model_session_start_time,model_session_end_time,mr_last_entry_time,mr_force_exit_time,mr_session_end_time,mr_exit_offset_min,bo_wait_hours,wait_hours,bo_eod_exit_time,orchestrator_breakout_eod_mode,live_fixed_units,use_fixed_live_size,mr_k_short,mr_take_k_short,mr_stop_k_short,bo_k,bo_stop1_range,bo_stop2_range
2026-07-17T06:14:34Z,ri_author41_42,7502MIW,trading-ri-author41-42-7502miw-strategy-runtime-1,ghcr.io/dkorolski/alor-rust-project/strategy-runtime:manual-20260626-freeze-observability-0ac4dbf,/opt/trading-ri-author41-42-7502miw/configs/runtime.ri_author41_42.micro.7502MIW.toml,5d4b446a47cdfed6cb64103e0fdcae86a67c30b8690b927982e483e60dec4ab5,trading-ri-author41-42-7502miw-alor-gateway-1,ghcr.io/dkorolski/alor-rust-project/alor-gateway:manual-20260618-oauth-68d1cd1,/opt/trading-ri-author41-42-7502miw/configs/gateway.ri_author41_42.micro.7502MIW.toml,4af75f902a059b3590e2ad8188f678db739e1d616f083a927a726e2eb3c1fea2,ri_author41_42.micro.7502MIW,ri_author41_42,RIU6,RTS-9.26,1.0,,ri_author41_42_primary_combo_cost2,,,,,09:00:00,23:49:59,14:00:00,14:04:59,18:50:00,19:04:59,,,,,,,,,,,,,,,,,,
2026-07-17T06:14:35Z,alor_usdrubf_hybrid,7502MIW,trading-alor-usdrubf-strategy-runtime-1,ghcr.io/dkorolski/alor-rust-project/strategy-runtime:manual-20260714-bracket-partial-b7abd1a,/opt/trading-alor-usdrubf/configs/runtime.alor_usdrubf.live.7502MIW.challenger_mr035.toml,f6e03a2c73c8436fd63058fdf10095fc80d6bcf04622fe3fd9eb68d6e6cfcd9d,trading-alor-usdrubf-alor-gateway-1,ghcr.io/dkorolski/alor-rust-project/alor-gateway:manual-20260618-oauth-68d1cd1,/opt/trading-alor-usdrubf/configs/gateway.alor_usdrubf.live.7502MIW.toml,6612c6727f3f3a40f338e97db48d2229a0e80b095bd2455c511f18eae9347fa3,alor_usdrubf_hybrid_v1,alor_usdrubf_hybrid,USDRUBF,,2.0,,,,,,,09:00:00,23:49:00,14:00:00,14:04:59,18:50:00,19:04:59,,,11:40:00,11:50:00,,,2.0,,23:30:00,,2.0,true,0.035,0.16,0.43,0.45,0.51,0.35
2026-07-17T06:14:35Z,hybrid_imoexf_riskgate,7502MIW,trading-hybrid-strategy-runtime-1,ghcr.io/dkorolski/alor-rust-project/strategy-runtime:manual-20260714-bracket-partial-b7abd1a,/opt/trading-hybrid/configs/runtime.hybrid.live.7502MIW.riskgate-shadow.toml,b3c3a7b940a3c082a9925faa3dc3a6bb01ca988d4fc7a478bb733daf35bceeef,trading-hybrid-alor-gateway-1,ghcr.io/dkorolski/alor-rust-project/alor-gateway:manual-20260618-oauth-68d1cd1,/opt/trading-hybrid/configs/gateway.hybrid.live.7502MIW.action-scoped.toml,d30e6f92eabfd8427fc5f8a9f837067a6aa245b2cf07cddfbc14873468c71ec0,hybrid_imoexf,hybrid_intraday,IMOEXF,,6.0,imoexf_primary_riskgate_high180_lb120,,high180,shadow_pnl_lb120_positive,runtime.riskgate.sessions.hybrid_imoexf.imoexf_primary_high180_lb120,/configs/riskgate_high180_lb120_seed_2026-04-26.csv,09:00:00,23:49:00,14:00:00,14:04:59,18:50:00,19:04:59,09:00:00,23:49:59,,,11:59:00,10,3.0,,,same_day,,,0.055,0.16,0.43,0.53,0.51,0.35
